system:index,area,class,territory,year,.geo
0_0_0,705.3104286148655,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,17.34661278533928,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,60.461393350708384,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,180.0672394935901,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,0.06070540588378906,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,0.016069627380371092,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,0.2169356389770507,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,7.352798456787142,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,0.818687794738771,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,0.005356322448730469,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,194.84333951732873,3,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,25.862176623046487,6,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,55.47786400549282,11,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,507.0960335626942,12,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,59.928670068907095,13,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,18.19831245166013,15,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,0.6010349943847659,18,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,19.04463850512692,21,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,0.47056966522216886,23,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,0.8233835289306639,25,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,2.2859130078125016,33,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,6761.919372936212,3,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,223.00559275519007,6,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.4987149570922854,11,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,501.56859995585813,13,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,0.9219270848999008,15,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,2.2299693007812498,18,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11.876552999633786,21,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,0.2993473211059571,23,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,0.11796003649902345,25,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,17.362561970764318,33,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,4.7590749724731385,68,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,2716.9163852851043,3,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,405.96182733349735,6,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,3.5789554716186553,11,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,1.3233633004760736,13,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,0.3206792957763671,15,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
