system:index,area,class,territory,year,.geo
0_0_0,95085.22296570695,3,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,10713.59209420401,6,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,844.1043830770891,11,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,47.32586185320993,13,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2.262686322021488,15,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,270.9052373272705,18,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,60.82158934722974,21,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,40.74866761297609,23,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,2.918183339477534,24,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,2.8454844849243157,25,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,1597.3225135902217,33,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,2.9653324782104784,68,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,8.919695434570313E-4,3,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,1.1979260078735356,13,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,70954.6938032209,3,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,5656.226362124068,6,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,101.85545698492471,11,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,1749.2532187313955,12,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,1739.5661070237195,13,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,9890.021116128652,15,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,20.97958844970689,18,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,1762.985878064316,21,10.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
